"Plot Title: 21068394"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 21068394, SEN S/N: 21068394)","Max: Daily Temperature, °C (LGR S/N: 21068394)","Min: Daily Temperature, °C (LGR S/N: 21068394)","Avg: Hourly Temperature, °C (LGR S/N: 21068394)","End Of File (LGR S/N: 21068394)"
1,06/29/21 12:00:00 AM,,32.188,7.079,,
2,06/29/21 10:00:00 AM,2583.4,,,14.421,
3,06/29/21 10:30:00 AM,3272.2,,,,
4,06/29/21 11:00:00 AM,4305.6,,,17.044,
5,06/29/21 11:30:00 AM,6200.0,,,,
6,06/29/21 12:00:00 PM,10333.4,,,24.982,
7,06/29/21 12:30:00 PM,7233.4,,,,
8,06/29/21 01:00:00 PM,15155.7,,,25.497,
9,06/29/21 01:30:00 PM,4477.8,,,,
10,06/29/21 02:00:00 PM,5338.9,,,24.739,
11,06/29/21 02:30:00 PM,17222.3,,,,
12,06/29/21 03:00:00 PM,9300.1,,,20.805,
13,06/29/21 03:30:00 PM,6200.0,,,,
14,06/29/21 04:00:00 PM,4650.0,,,18.996,
15,06/29/21 04:30:00 PM,4477.8,,,,
16,06/29/21 05:00:00 PM,4994.5,,,23.774,
17,06/29/21 05:30:00 PM,7233.4,,,,
18,06/29/21 06:00:00 PM,861.1,,,12.880,
19,06/29/21 06:30:00 PM,796.5,,,,
20,06/29/21 07:00:00 PM,904.2,,,11.332,
21,06/29/21 07:30:00 PM,161.5,,,,
22,06/29/21 08:00:00 PM,53.8,,,9.074,
23,06/29/21 08:30:00 PM,21.5,,,,
24,06/29/21 09:00:00 PM,0.0,,,7.431,
25,06/29/21 09:30:00 PM,0.0,,,,
26,06/29/21 10:00:00 PM,0.0,,,7.380,
27,06/29/21 10:30:00 PM,0.0,,,,
28,06/29/21 11:00:00 PM,0.0,,,7.682,
29,06/29/21 11:30:00 PM,0.0,,,,
30,06/30/21 12:00:00 AM,0.0,36.295,2.837,6.923,
31,06/30/21 12:30:00 AM,0.0,,,,
32,06/30/21 01:00:00 AM,0.0,,,5.087,
33,06/30/21 01:30:00 AM,0.0,,,,
34,06/30/21 02:00:00 AM,0.0,,,4.675,
35,06/30/21 02:30:00 AM,0.0,,,,
36,06/30/21 03:00:00 AM,0.0,,,5.089,
37,06/30/21 03:30:00 AM,0.0,,,,
38,06/30/21 04:00:00 AM,0.0,,,3.736,
39,06/30/21 04:30:00 AM,0.0,,,,
40,06/30/21 05:00:00 AM,0.0,,,3.681,
41,06/30/21 05:30:00 AM,0.0,,,,
42,06/30/21 06:00:00 AM,75.3,,,2.996,
43,06/30/21 06:30:00 AM,279.9,,,,
44,06/30/21 07:00:00 AM,4305.6,,,5.917,
45,06/30/21 07:30:00 AM,2066.7,,,,
46,06/30/21 08:00:00 AM,5166.7,,,11.961,
47,06/30/21 08:30:00 AM,3616.7,,,,
48,06/30/21 09:00:00 AM,4650.0,,,16.283,
49,06/30/21 09:30:00 AM,5166.7,,,,
50,06/30/21 10:00:00 AM,15844.5,,,25.255,
51,06/30/21 10:30:00 AM,5166.7,,,,
52,06/30/21 11:00:00 AM,7233.4,,,19.662,
53,06/30/21 11:30:00 AM,4650.0,,,,
54,06/30/21 12:00:00 PM,5511.1,,,20.855,
55,06/30/21 12:30:00 PM,6200.0,,,,
56,06/30/21 01:00:00 PM,11711.2,,,29.225,
57,06/30/21 01:30:00 PM,5511.1,,,,
58,06/30/21 02:00:00 PM,18600.1,,,34.758,
59,06/30/21 02:30:00 PM,14466.8,,,,
60,06/30/21 03:00:00 PM,8611.2,,,34.805,
61,06/30/21 03:30:00 PM,18600.1,,,,
62,06/30/21 04:00:00 PM,14466.8,,,23.066,
63,06/30/21 04:30:00 PM,4133.4,,,,
64,06/30/21 05:00:00 PM,8266.7,,,19.281,
65,06/30/21 05:30:00 PM,1151.7,,,,
66,06/30/21 06:00:00 PM,3272.2,,,18.283,
67,06/30/21 06:30:00 PM,936.5,,,,
68,06/30/21 07:00:00 PM,258.3,,,11.479,
69,06/30/21 07:30:00 PM,452.1,,,,
70,06/30/21 08:00:00 PM,1130.2,,,12.013,
71,06/30/21 08:30:00 PM,430.6,,,,
72,06/30/21 09:00:00 PM,0.0,,,10.650,
73,06/30/21 09:30:00 PM,0.0,,,,
74,06/30/21 10:00:00 PM,0.0,,,9.768,
75,06/30/21 10:30:00 PM,0.0,,,,
76,06/30/21 11:00:00 PM,0.0,,,9.620,
77,06/30/21 11:30:00 PM,0.0,,,,
78,07/01/21 12:00:00 AM,0.0,37.604,6.978,9.324,
79,07/01/21 12:30:00 AM,0.0,,,,
80,07/01/21 01:00:00 AM,0.0,,,8.779,
81,07/01/21 01:30:00 AM,0.0,,,,
82,07/01/21 02:00:00 AM,0.0,,,7.732,
83,07/01/21 02:30:00 AM,0.0,,,,
84,07/01/21 03:00:00 AM,0.0,,,7.581,
85,07/01/21 03:30:00 AM,0.0,,,,
86,07/01/21 04:00:00 AM,0.0,,,7.330,
87,07/01/21 04:30:00 AM,0.0,,,,
88,07/01/21 05:00:00 AM,0.0,,,7.129,
89,07/01/21 05:30:00 AM,0.0,,,,
90,07/01/21 06:00:00 AM,139.9,,,7.330,
91,07/01/21 06:30:00 AM,656.6,,,,
92,07/01/21 07:00:00 AM,4822.3,,,11.300,
93,07/01/21 07:30:00 AM,7233.4,,,,
94,07/01/21 08:00:00 AM,7233.4,,,17.712,
95,07/01/21 08:30:00 AM,10333.4,,,,
96,07/01/21 09:00:00 AM,2927.8,,,22.636,
97,07/01/21 09:30:00 AM,9644.5,,,,
98,07/01/21 10:00:00 AM,2411.1,,,21.456,
99,07/01/21 10:30:00 AM,13777.9,,,,
100,07/01/21 11:00:00 AM,3100.0,,,26.418,
101,07/01/21 11:30:00 AM,14466.8,,,,
102,07/01/21 12:00:00 PM,16533.4,,,31.630,
103,07/01/21 12:30:00 PM,9644.5,,,,
104,07/01/21 01:00:00 PM,3100.0,,,19.956,
105,07/01/21 01:30:00 PM,5338.9,,,,
106,07/01/21 02:00:00 PM,23422.4,,,34.325,
107,07/01/21 02:30:00 PM,11022.3,,,,
108,07/01/21 03:00:00 PM,22044.6,,,36.094,
109,07/01/21 03:30:00 PM,17911.2,,,,
110,07/01/21 04:00:00 PM,14466.8,,,34.373,
111,07/01/21 04:30:00 PM,11711.2,,,,
112,07/01/21 05:00:00 PM,10333.4,,,31.119,
113,07/01/21 05:30:00 PM,2755.6,,,,
114,07/01/21 06:00:00 PM,3100.0,,,23.201,
115,07/01/21 06:30:00 PM,1808.3,,,,
116,07/01/21 07:00:00 PM,1237.9,,,17.284,
117,07/01/21 07:30:00 PM,850.4,,,,
118,07/01/21 08:00:00 PM,516.7,,,13.168,
119,07/01/21 08:30:00 PM,86.1,,,,
120,07/01/21 09:00:00 PM,0.0,,,9.718,
121,07/01/21 09:30:00 PM,0.0,,,,
122,07/01/21 10:00:00 PM,0.0,,,9.765,
123,07/01/21 10:30:00 PM,0.0,,,,
124,07/01/21 11:00:00 PM,0.0,,,8.878,
125,07/01/21 11:30:00 PM,0.0,,,,
126,07/02/21 12:00:00 AM,0.0,35.222,1.872,8.829,
127,07/02/21 12:30:00 AM,0.0,,,,
128,07/02/21 01:00:00 AM,0.0,,,6.772,
129,07/02/21 01:30:00 AM,0.0,,,,
130,07/02/21 02:00:00 AM,0.0,,,5.140,
131,07/02/21 02:30:00 AM,0.0,,,,
132,07/02/21 03:00:00 AM,0.0,,,3.943,
133,07/02/21 03:30:00 AM,0.0,,,,
134,07/02/21 04:00:00 AM,0.0,,,2.784,
135,07/02/21 04:30:00 AM,0.0,,,,
136,07/02/21 05:00:00 AM,0.0,,,2.141,
137,07/02/21 05:30:00 AM,0.0,,,,
138,07/02/21 06:00:00 AM,107.6,,,2.034,
139,07/02/21 06:30:00 AM,193.8,,,,
140,07/02/21 07:00:00 AM,3444.5,,,8.207,
141,07/02/21 07:30:00 AM,6544.5,,,,
142,07/02/21 08:00:00 AM,6544.5,,,18.521,
143,07/02/21 08:30:00 AM,7577.8,,,,
144,07/02/21 09:00:00 AM,9300.1,,,25.381,
145,07/02/21 09:30:00 AM,12400.1,,,,
146,07/02/21 10:00:00 AM,13777.9,,,30.208,
147,07/02/21 10:30:00 AM,15844.5,,,,
148,07/02/21 11:00:00 AM,3616.7,,,27.141,
149,07/02/21 11:30:00 AM,2325.0,,,,
150,07/02/21 12:00:00 PM,3272.2,,,21.433,
151,07/02/21 12:30:00 PM,3616.7,,,,
152,07/02/21 01:00:00 PM,2755.6,,,18.235,
153,07/02/21 01:30:00 PM,1259.4,,,,
154,07/02/21 02:00:00 PM,3100.0,,,19.196,
155,07/02/21 02:30:00 PM,23422.4,,,,
156,07/02/21 03:00:00 PM,19977.9,,,33.547,
157,07/02/21 03:30:00 PM,16533.4,,,,
158,07/02/21 04:00:00 PM,13089.0,,,34.118,
159,07/02/21 04:30:00 PM,10677.8,,,,
160,07/02/21 05:00:00 PM,1808.3,,,20.903,
161,07/02/21 05:30:00 PM,1550.0,,,,
162,07/02/21 06:00:00 PM,2411.1,,,20.615,
163,07/02/21 06:30:00 PM,2238.9,,,,
164,07/02/21 07:00:00 PM,893.4,,,18.996,
165,07/02/21 07:30:00 PM,1151.7,,,,
166,07/02/21 08:00:00 PM,366.0,,,14.612,
167,07/02/21 08:30:00 PM,193.8,,,,
168,07/02/21 09:00:00 PM,0.0,,,12.492,
169,07/02/21 09:30:00 PM,0.0,,,,
170,07/02/21 10:00:00 PM,0.0,,,9.518,
171,07/02/21 10:30:00 PM,0.0,,,,
172,07/02/21 11:00:00 PM,0.0,,,6.824,
173,07/02/21 11:30:00 PM,0.0,,,,
174,07/03/21 12:00:00 AM,0.0,35.115,1.003,5.345,
175,07/03/21 12:30:00 AM,0.0,,,,
176,07/03/21 01:00:00 AM,0.0,,,4.311,
177,07/03/21 01:30:00 AM,0.0,,,,
178,07/03/21 02:00:00 AM,0.0,,,3.419,
179,07/03/21 02:30:00 AM,0.0,,,,
180,07/03/21 03:00:00 AM,0.0,,,2.409,
181,07/03/21 03:30:00 AM,0.0,,,,
182,07/03/21 04:00:00 AM,0.0,,,1.764,
183,07/03/21 04:30:00 AM,0.0,,,,
184,07/03/21 05:00:00 AM,0.0,,,1.221,
185,07/03/21 05:30:00 AM,0.0,,,,
186,07/03/21 06:00:00 AM,118.4,,,1.330,
187,07/03/21 06:30:00 AM,215.3,,,,
188,07/03/21 07:00:00 AM,2669.5,,,7.941,
189,07/03/21 07:30:00 AM,7233.4,,,,
190,07/03/21 08:00:00 AM,7233.4,,,19.377,
191,07/03/21 08:30:00 AM,7577.8,,,,
192,07/03/21 09:00:00 AM,10333.4,,,20.242,
193,07/03/21 09:30:00 AM,1463.9,,,,
194,07/03/21 10:00:00 AM,12400.1,,,31.003,
195,07/03/21 10:30:00 AM,14466.8,,,,
196,07/03/21 11:00:00 AM,4133.4,,,33.588,
197,07/03/21 11:30:00 AM,3961.1,,,,
198,07/03/21 12:00:00 PM,2755.6,,,30.276,
199,07/03/21 12:30:00 PM,3616.7,,,,
200,07/03/21 01:00:00 PM,16533.4,,,25.470,
