"Plot Title: testing fish tank"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 21068391, SEN S/N: 21068391)","Max: Daily Temperature, °C (LGR S/N: 21068391)","Min: Daily Temperature, °C (LGR S/N: 21068391)","Avg: Hourly Temperature, °C (LGR S/N: 21068391)","Coupler Detached (LGR S/N: 21068391)","Coupler Attached (LGR S/N: 21068391)","Host Connected (LGR S/N: 21068391)","Stopped (LGR S/N: 21068391)","End Of File (LGR S/N: 21068391)"
1,06/28/21 12:00:00 AM,,19.758,18.045,,,,,,
2,06/28/21 04:00:00 PM,,,,18.092,,,,,
3,06/28/21 04:11:03 PM,0.0,,,,,,,,
4,06/28/21 04:11:12 PM,,,,,Logged,,,,
5,06/28/21 04:41:03 PM,43.1,,,,,,,,
6,06/28/21 05:00:00 PM,,,,19.758,,,,,
7,06/28/21 05:11:03 PM,0.0,,,,,,,,
8,06/28/21 05:41:03 PM,10.8,,,,,,,,
9,06/28/21 06:00:00 PM,,,,19.567,,,,,
10,06/28/21 06:11:03 PM,10.8,,,,,,,,
11,06/28/21 06:41:03 PM,10.8,,,,,,,,
12,06/28/21 07:00:00 PM,,,,19.520,,,,,
13,06/28/21 07:11:03 PM,10.8,,,,,,,,
14,06/28/21 07:41:03 PM,0.0,,,,,,,,
15,06/28/21 08:00:00 PM,,,,19.567,,,,,
16,06/28/21 08:11:03 PM,0.0,,,,,,,,
17,06/28/21 08:41:03 PM,0.0,,,,,,,,
18,06/28/21 09:00:00 PM,,,,19.567,,,,,
19,06/28/21 09:11:03 PM,0.0,,,,,,,,
20,06/28/21 09:41:03 PM,0.0,,,,,,,,
21,06/28/21 10:00:00 PM,,,,19.235,,,,,
22,06/28/21 10:11:03 PM,0.0,,,,,,,,
23,06/28/21 10:41:03 PM,0.0,,,,,,,,
24,06/28/21 11:00:00 PM,,,,18.854,,,,,
25,06/28/21 11:11:03 PM,0.0,,,,,,,,
26,06/28/21 11:41:03 PM,0.0,,,,,,,,
27,06/29/21 12:00:00 AM,,26.585,6.978,18.663,,,,,
28,06/29/21 12:11:03 AM,0.0,,,,,,,,
29,06/29/21 12:41:03 AM,0.0,,,,,,,,
30,06/29/21 01:00:00 AM,,,,18.521,,,,,
31,06/29/21 01:11:03 AM,0.0,,,,,,,,
32,06/29/21 01:41:03 AM,0.0,,,,,,,,
33,06/29/21 02:00:00 AM,,,,18.426,,,,,
34,06/29/21 02:11:03 AM,0.0,,,,,,,,
35,06/29/21 02:41:03 AM,0.0,,,,,,,,
36,06/29/21 03:00:00 AM,,,,18.331,,,,,
37,06/29/21 03:11:03 AM,0.0,,,,,,,,
38,06/29/21 03:41:03 AM,0.0,,,,,,,,
39,06/29/21 04:00:00 AM,,,,18.331,,,,,
40,06/29/21 04:11:03 AM,0.0,,,,,,,,
41,06/29/21 04:41:03 AM,0.0,,,,,,,,
42,06/29/21 05:00:00 AM,,,,18.663,,,,,
43,06/29/21 05:11:03 AM,0.0,,,,,,,,
44,06/29/21 05:41:03 AM,0.0,,,,,,,,
45,06/29/21 06:00:00 AM,,,,18.616,,,,,
46,06/29/21 06:11:03 AM,0.0,,,,,,,,
47,06/29/21 06:41:03 AM,0.0,,,,,,,,
48,06/29/21 07:00:00 AM,,,,18.569,,,,,
49,06/29/21 07:11:03 AM,21.5,,,,,,,,
50,06/29/21 07:41:03 AM,0.0,,,,,,,,
51,06/29/21 08:00:00 AM,,,,18.045,,,,,
52,06/29/21 08:11:03 AM,398.3,,,,,,,,
53,06/29/21 08:41:03 AM,236.8,,,,,,,,
54,06/29/21 09:00:00 AM,,,,16.044,,,,,
55,06/29/21 09:11:03 AM,3100.0,,,,,,,,
56,06/29/21 09:41:03 AM,2152.8,,,,,,,,
57,06/29/21 10:00:00 AM,,,,14.660,,,,,
58,06/29/21 10:11:03 AM,2066.7,,,,,,,,
59,06/29/21 10:41:03 AM,2411.1,,,,,,,,
60,06/29/21 11:00:00 AM,,,,19.046,,,,,
61,06/29/21 11:11:03 AM,3100.0,,,,,,,,
62,06/29/21 11:41:03 AM,6544.5,,,,,,,,
63,06/29/21 12:00:00 PM,,,,25.081,,,,,
64,06/29/21 12:11:03 PM,4822.3,,,,,,,,
65,06/29/21 12:41:03 PM,7577.8,,,,,,,,
66,06/29/21 01:00:00 PM,,,,23.267,,,,,
67,06/29/21 01:11:03 PM,2411.1,,,,,,,,
68,06/29/21 01:41:03 PM,4650.0,,,,,,,,
69,06/29/21 02:00:00 PM,,,,23.296,,,,,
70,06/29/21 02:11:03 PM,4305.6,,,,,,,,
71,06/29/21 02:41:03 PM,4305.6,,,,,,,,
72,06/29/21 03:00:00 PM,,,,21.665,,,,,
73,06/29/21 03:11:03 PM,4994.5,,,,,,,,
74,06/29/21 03:41:03 PM,3100.0,,,,,,,,
75,06/29/21 04:00:00 PM,,,,20.186,,,,,
76,06/29/21 04:11:03 PM,3616.7,,,,,,,,
77,06/29/21 04:41:03 PM,3788.9,,,,,,,,
78,06/29/21 05:00:00 PM,,,,19.521,,,,,
79,06/29/21 05:11:03 PM,1980.6,,,,,,,,
80,06/29/21 05:41:03 PM,516.7,,,,,,,,
81,06/29/21 06:00:00 PM,,,,11.382,,,,,
82,06/29/21 06:11:03 PM,602.8,,,,,,,,
83,06/29/21 06:41:03 PM,570.5,,,,,,,,
84,06/29/21 07:00:00 PM,,,,10.551,,,,,
85,06/29/21 07:11:03 PM,312.2,,,,,,,,
86,06/29/21 07:41:03 PM,53.8,,,,,,,,
87,06/29/21 08:00:00 PM,,,,8.228,,,,,
88,06/29/21 08:11:03 PM,21.5,,,,,,,,
89,06/29/21 08:41:03 PM,0.0,,,,,,,,
90,06/29/21 09:00:00 PM,,,,7.129,,,,,
91,06/29/21 09:11:03 PM,0.0,,,,,,,,
92,06/29/21 09:41:03 PM,0.0,,,,,,,,
93,06/29/21 10:00:00 PM,,,,7.280,,,,,
94,06/29/21 10:11:03 PM,0.0,,,,,,,,
95,06/29/21 10:41:03 PM,0.0,,,,,,,,
96,06/29/21 11:00:00 PM,,,,7.581,,,,,
97,06/29/21 11:11:03 PM,0.0,,,,,,,,
98,06/29/21 11:41:03 PM,0.0,,,,,,,,
99,06/30/21 12:00:00 AM,,39.276,3.049,6.516,,,,,
100,06/30/21 12:11:03 AM,0.0,,,,,,,,
101,06/30/21 12:41:03 AM,0.0,,,,,,,,
102,06/30/21 01:00:00 AM,,,,4.674,,,,,
103,06/30/21 01:11:03 AM,0.0,,,,,,,,
104,06/30/21 01:41:03 AM,0.0,,,,,,,,
105,06/30/21 02:00:00 AM,,,,4.725,,,,,
106,06/30/21 02:11:03 AM,0.0,,,,,,,,
107,06/30/21 02:41:03 AM,0.0,,,,,,,,
108,06/30/21 03:00:00 AM,,,,5.089,,,,,
109,06/30/21 03:11:03 AM,0.0,,,,,,,,
110,06/30/21 03:41:03 AM,0.0,,,,,,,,
111,06/30/21 04:00:00 AM,,,,3.736,,,,,
112,06/30/21 04:11:03 AM,0.0,,,,,,,,
113,06/30/21 04:41:03 AM,0.0,,,,,,,,
114,06/30/21 05:00:00 AM,,,,3.628,,,,,
115,06/30/21 05:11:03 AM,0.0,,,,,,,,
116,06/30/21 05:41:03 AM,10.8,,,,,,,,
117,06/30/21 06:00:00 AM,,,,3.155,,,,,
118,06/30/21 06:11:03 AM,139.9,,,,,,,,
119,06/30/21 06:41:03 AM,96.9,,,,,,,,
120,06/30/21 07:00:00 AM,,,,6.462,,,,,
121,06/30/21 07:11:03 AM,1237.9,,,,,,,,
122,06/30/21 07:41:03 AM,1345.5,,,,,,,,
123,06/30/21 08:00:00 AM,,,,12.105,,,,,
124,06/30/21 08:11:03 AM,1550.0,,,,,,,,
125,06/30/21 08:41:03 AM,2583.4,,,,,,,,
126,06/30/21 09:00:00 AM,,,,16.854,,,,,
127,06/30/21 09:11:03 AM,3100.0,,,,,,,,
128,06/30/21 09:41:03 AM,4650.0,,,,,,,,
129,06/30/21 10:00:00 AM,,,,24.412,,,,,
130,06/30/21 10:11:03 AM,4305.6,,,,,,,,
131,06/30/21 10:41:03 AM,4650.0,,,,,,,,
132,06/30/21 11:00:00 AM,,,,21.238,,,,,
133,06/30/21 11:11:03 AM,11022.3,,,,,,,,
134,06/30/21 11:41:03 AM,3272.2,,,,,,,,
135,06/30/21 12:00:00 PM,,,,23.197,,,,,
136,06/30/21 12:11:03 PM,28933.5,,,,,,,,
137,06/30/21 12:41:03 PM,27555.7,,,,,,,,
138,06/30/21 01:00:00 PM,,,,31.677,,,,,
139,06/30/21 01:11:03 PM,26178.0,,,,,,,,
140,06/30/21 01:41:03 PM,17222.3,,,,,,,,
141,06/30/21 02:00:00 PM,,,,38.995,,,,,
142,06/30/21 02:11:03 PM,11711.2,,,,,,,,
143,06/30/21 02:41:03 PM,11022.3,,,,,,,,
144,06/30/21 03:00:00 PM,,,,36.252,,,,,
145,06/30/21 03:11:03 PM,9644.5,,,,,,,,
146,06/30/21 03:41:03 PM,3100.0,,,,,,,,
147,06/30/21 04:00:00 PM,,,,21.907,,,,,
148,06/30/21 04:11:03 PM,4133.4,,,,,,,,
149,06/30/21 04:41:03 PM,2325.0,,,,,,,,
150,06/30/21 05:00:00 PM,,,,18.378,,,,,
151,06/30/21 05:11:03 PM,1808.3,,,,,,,,
152,06/30/21 05:41:03 PM,602.8,,,,,,,,
153,06/30/21 06:00:00 PM,,,,16.465,,,,,
154,06/30/21 06:11:03 PM,2583.4,,,,,,,,
155,06/30/21 06:41:03 PM,312.2,,,,,,,,
156,06/30/21 07:00:00 PM,,,,11.188,,,,,
157,06/30/21 07:11:03 PM,172.2,,,,,,,,
158,06/30/21 07:41:03 PM,279.9,,,,,,,,
159,06/30/21 08:00:00 PM,,,,11.576,,,,,
160,06/30/21 08:11:03 PM,667.4,,,,,,,,
161,06/30/21 08:41:03 PM,0.0,,,,,,,,
162,06/30/21 09:00:00 PM,,,,10.406,,,,,
163,06/30/21 09:11:03 PM,0.0,,,,,,,,
164,06/30/21 09:41:03 PM,0.0,,,,,,,,
165,06/30/21 10:00:00 PM,,,,9.521,,,,,
166,06/30/21 10:11:03 PM,0.0,,,,,,,,
167,06/30/21 10:41:03 PM,0.0,,,,,,,,
168,06/30/21 11:00:00 PM,,,,9.422,,,,,
169,06/30/21 11:11:03 PM,0.0,,,,,,,,
170,06/30/21 11:41:03 PM,0.0,,,,,,,,
171,07/01/21 12:00:00 AM,,42.758,6.877,9.226,,,,,
172,07/01/21 12:11:03 AM,0.0,,,,,,,,
173,07/01/21 12:41:03 AM,0.0,,,,,,,,
174,07/01/21 01:00:00 AM,,,,8.381,,,,,
175,07/01/21 01:11:03 AM,0.0,,,,,,,,
176,07/01/21 01:41:03 AM,0.0,,,,,,,,
177,07/01/21 02:00:00 AM,,,,7.631,,,,,
178,07/01/21 02:11:03 AM,0.0,,,,,,,,
179,07/01/21 02:41:03 AM,0.0,,,,,,,,
180,07/01/21 03:00:00 AM,,,,7.531,,,,,
181,07/01/21 03:11:03 AM,0.0,,,,,,,,
182,07/01/21 03:41:03 AM,0.0,,,,,,,,
183,07/01/21 04:00:00 AM,,,,7.280,,,,,
184,07/01/21 04:11:03 AM,0.0,,,,,,,,
185,07/01/21 04:41:03 AM,0.0,,,,,,,,
186,07/01/21 05:00:00 AM,,,,7.028,,,,,
187,07/01/21 05:11:03 AM,0.0,,,,,,,,
188,07/01/21 05:41:03 AM,0.0,,,,,,,,
189,07/01/21 06:00:00 AM,,,,7.481,,,,,
190,07/01/21 06:11:03 AM,150.7,,,,,,,,
191,07/01/21 06:41:03 AM,344.4,,,,,,,,
192,07/01/21 07:00:00 AM,,,,11.615,,,,,
193,07/01/21 07:11:03 AM,1550.0,,,,,,,,
194,07/01/21 07:41:03 AM,1980.6,,,,,,,,
195,07/01/21 08:00:00 AM,,,,17.331,,,,,
196,07/01/21 08:11:03 AM,3100.0,,,,,,,,
197,07/01/21 08:41:03 AM,3100.0,,,,,,,,
198,07/01/21 09:00:00 AM,,,,20.186,,,,,
199,07/01/21 09:11:03 AM,1463.9,,,,,,,,
200,07/01/21 09:41:03 AM,1808.3,,,,,,,,
201,07/01/21 10:00:00 AM,,,,23.418,,,,,
202,07/01/21 10:11:03 AM,6544.5,,,,,,,,
203,07/01/21 10:41:03 AM,8611.2,,,,,,,,
204,07/01/21 11:00:00 AM,,,,26.620,,,,,
205,07/01/21 11:11:03 AM,2755.6,,,,,,,,
206,07/01/21 11:41:03 AM,22044.6,,,,,,,,
207,07/01/21 12:00:00 PM,,,,32.160,,,,,
208,07/01/21 12:11:03 PM,20666.8,,,,,,,,
209,07/01/21 12:41:03 PM,3616.7,,,,,,,,
210,07/01/21 01:00:00 PM,,,,20.997,,,,,
211,07/01/21 01:11:03 PM,1550.0,,,,,,,,
212,07/01/21 01:41:03 PM,16533.4,,,,,,,,
213,07/01/21 02:00:00 PM,,,,35.358,,,,,
214,07/01/21 02:11:03 PM,11711.2,,,,,,,,
215,07/01/21 02:41:03 PM,11711.2,,,,,,,,
216,07/01/21 03:00:00 PM,,,,41.243,,,,,
217,07/01/21 03:11:03 PM,6200.0,,,,,,,,
218,07/01/21 03:41:03 PM,9644.5,,,,,,,,
219,07/01/21 04:00:00 PM,,,,37.133,,,,,
220,07/01/21 04:11:03 PM,10333.4,,,,,,,,
221,07/01/21 04:41:03 PM,1463.9,,,,,,,,
222,07/01/21 05:00:00 PM,,,,25.002,,,,,
223,07/01/21 05:11:03 PM,1636.1,,,,,,,,
224,07/01/21 05:41:03 PM,2066.7,,,,,,,,
225,07/01/21 06:00:00 PM,,,,20.331,,,,,
226,07/01/21 06:11:03 PM,1463.9,,,,,,,,
227,07/01/21 06:41:03 PM,484.4,,,,,,,,
228,07/01/21 07:00:00 PM,,,,15.711,,,,,
229,07/01/21 07:11:03 PM,656.6,,,,,,,,
230,07/01/21 07:41:03 PM,409.0,,,,,,,,
231,07/01/21 08:00:00 PM,,,,11.473,,,,,
232,07/01/21 08:11:03 PM,183.0,,,,,,,,
233,07/01/21 08:41:03 PM,10.8,,,,,,,,
234,07/01/21 09:00:00 PM,,,,9.026,,,,,
235,07/01/21 09:11:03 PM,0.0,,,,,,,,
236,07/01/21 09:41:03 PM,0.0,,,,,,,,
237,07/01/21 10:00:00 PM,,,,9.025,,,,,
238,07/01/21 10:11:03 PM,0.0,,,,,,,,
239,07/01/21 10:41:03 PM,0.0,,,,,,,,
240,07/01/21 11:00:00 PM,,,,8.381,,,,,
241,07/01/21 11:11:03 PM,0.0,,,,,,,,
242,07/01/21 11:41:03 PM,0.0,,,,,,,,
243,07/02/21 12:00:00 AM,,40.185,1.872,8.281,,,,,
244,07/02/21 12:11:03 AM,0.0,,,,,,,,
245,07/02/21 12:41:03 AM,0.0,,,,,,,,
246,07/02/21 01:00:00 AM,,,,6.215,,,,,
247,07/02/21 01:11:03 AM,0.0,,,,,,,,
248,07/02/21 01:41:03 AM,0.0,,,,,,,,
249,07/02/21 02:00:00 AM,,,,5.140,,,,,
250,07/02/21 02:11:03 AM,0.0,,,,,,,,
251,07/02/21 02:41:03 AM,0.0,,,,,,,,
252,07/02/21 03:00:00 AM,,,,3.682,,,,,
253,07/02/21 03:11:03 AM,0.0,,,,,,,,
254,07/02/21 03:41:03 AM,0.0,,,,,,,,
255,07/02/21 04:00:00 AM,,,,2.570,,,,,
256,07/02/21 04:11:03 AM,0.0,,,,,,,,
257,07/02/21 04:41:03 AM,0.0,,,,,,,,
258,07/02/21 05:00:00 AM,,,,1.872,,,,,
259,07/02/21 05:11:03 AM,0.0,,,,,,,,
260,07/02/21 05:41:03 AM,10.8,,,,,,,,
261,07/02/21 06:00:00 AM,,,,2.141,,,,,
262,07/02/21 06:11:03 AM,75.3,,,,,,,,
263,07/02/21 06:41:03 AM,107.6,,,,,,,,
264,07/02/21 07:00:00 AM,,,,8.045,,,,,
265,07/02/21 07:11:03 AM,1356.3,,,,,,,,
266,07/02/21 07:41:03 AM,1980.6,,,,,,,,
267,07/02/21 08:00:00 AM,,,,17.091,,,,,
268,07/02/21 08:11:03 AM,2497.2,,,,,,,,
269,07/02/21 08:41:03 AM,3100.0,,,,,,,,
270,07/02/21 09:00:00 AM,,,,24.211,,,,,
271,07/02/21 09:11:03 AM,3788.9,,,,,,,,
272,07/02/21 09:41:03 AM,5166.7,,,,,,,,
273,07/02/21 10:00:00 AM,,,,27.864,,,,,
274,07/02/21 10:11:03 AM,7233.4,,,,,,,,
275,07/02/21 10:41:03 AM,3444.5,,,,,,,,
276,07/02/21 11:00:00 AM,,,,22.833,,,,,
277,07/02/21 11:11:03 AM,1808.3,,,,,,,,
278,07/02/21 11:41:03 AM,2238.9,,,,,,,,
279,07/02/21 12:00:00 PM,,,,20.281,,,,,
280,07/02/21 12:11:03 PM,1722.2,,,,,,,,
281,07/02/21 12:41:03 PM,3444.5,,,,,,,,
282,07/02/21 01:00:00 PM,,,,16.136,,,,,
283,07/02/21 01:11:03 PM,1550.0,,,,,,,,
284,07/02/21 01:41:03 PM,807.3,,,,,,,,
285,07/02/21 02:00:00 PM,,,,23.218,,,,,
286,07/02/21 02:11:03 PM,4133.4,,,,,,,,
287,07/02/21 02:41:03 PM,8266.7,,,,,,,,
288,07/02/21 03:00:00 PM,,,,38.892,,,,,
289,07/02/21 03:11:03 PM,8611.2,,,,,,,,
290,07/02/21 03:41:03 PM,9300.1,,,,,,,,
291,07/02/21 04:00:00 PM,,,,35.727,,,,,
292,07/02/21 04:11:03 PM,9644.5,,,,,,,,
293,07/02/21 04:41:03 PM,796.5,,,,,,,,
294,07/02/21 05:00:00 PM,,,,19.569,,,,,
295,07/02/21 05:11:03 PM,495.1,,,,,,,,
296,07/02/21 05:41:03 PM,796.5,,,,,,,,
297,07/02/21 06:00:00 PM,,,,19.805,,,,,
298,07/02/21 06:11:03 PM,1130.2,,,,,,,,
299,07/02/21 06:41:03 PM,990.3,,,,,,,,
300,07/02/21 07:00:00 PM,,,,17.427,,,,,
301,07/02/21 07:11:03 PM,753.5,,,,,,,,
302,07/02/21 07:41:03 PM,387.5,,,,,,,,
303,07/02/21 08:00:00 PM,,,,13.461,,,,,
304,07/02/21 08:11:03 PM,183.0,,,,,,,,
305,07/02/21 08:41:03 PM,10.8,,,,,,,,
306,07/02/21 09:00:00 PM,,,,11.329,,,,,
307,07/02/21 09:11:03 PM,0.0,,,,,,,,
308,07/02/21 09:41:03 PM,0.0,,,,,,,,
309,07/02/21 10:00:00 PM,,,,8.777,,,,,
310,07/02/21 10:11:03 PM,0.0,,,,,,,,
311,07/02/21 10:41:03 PM,0.0,,,,,,,,
312,07/02/21 11:00:00 PM,,,,6.622,,,,,
313,07/02/21 11:11:03 PM,0.0,,,,,,,,
314,07/02/21 11:41:03 PM,0.0,,,,,,,,
315,07/03/21 12:00:00 AM,,38.046,1.003,4.881,,,,,
316,07/03/21 12:11:03 AM,0.0,,,,,,,,
317,07/03/21 12:41:03 AM,0.0,,,,,,,,
318,07/03/21 01:00:00 AM,,,,4.154,,,,,
319,07/03/21 01:11:03 AM,0.0,,,,,,,,
320,07/03/21 01:41:03 AM,0.0,,,,,,,,
321,07/03/21 02:00:00 AM,,,,3.419,,,,,
322,07/03/21 02:11:03 AM,0.0,,,,,,,,
323,07/03/21 02:41:03 AM,0.0,,,,,,,,
324,07/03/21 03:00:00 AM,,,,2.409,,,,,
325,07/03/21 03:11:03 AM,0.0,,,,,,,,
326,07/03/21 03:41:03 AM,0.0,,,,,,,,
327,07/03/21 04:00:00 AM,,,,1.872,,,,,
328,07/03/21 04:11:03 AM,0.0,,,,,,,,
329,07/03/21 04:41:03 AM,0.0,,,,,,,,
330,07/03/21 05:00:00 AM,,,,1.221,,,,,
331,07/03/21 05:11:03 AM,0.0,,,,,,,,
332,07/03/21 05:41:03 AM,10.8,,,,,,,,
