"Plot Title: 21068393"
"#","Date Time, GMT-06:00","Intensity, Lux (LGR S/N: 21068393, SEN S/N: 21068393)","Max: Daily Temperature, °C (LGR S/N: 21068393)","Min: Daily Temperature, °C (LGR S/N: 21068393)","Avg: Hourly Temperature, °C (LGR S/N: 21068393)","Host Connected (LGR S/N: 21068393)","Coupler Attached (LGR S/N: 21068393)","Stopped (LGR S/N: 21068393)","End Of File (LGR S/N: 21068393)"
1,06/29/21 12:00:00 AM,,30.659,6.978,,,,,
2,06/29/21 10:00:00 AM,2238.9,,,14.182,,,,
3,06/29/21 10:30:00 AM,2755.6,,,,,,,
4,06/29/21 11:00:00 AM,3444.5,,,16.521,,,,
5,06/29/21 11:30:00 AM,5166.7,,,,,,,
6,06/29/21 12:00:00 PM,9644.5,,,23.343,,,,
7,06/29/21 12:30:00 PM,5511.1,,,,,,,
8,06/29/21 01:00:00 PM,14466.8,,,24.399,,,,
9,06/29/21 01:30:00 PM,3788.9,,,,,,,
10,06/29/21 02:00:00 PM,4305.6,,,23.296,,,,
11,06/29/21 02:30:00 PM,9300.1,,,,,,,
12,06/29/21 03:00:00 PM,5511.1,,,19.710,,,,
13,06/29/21 03:30:00 PM,4305.6,,,,,,,
14,06/29/21 04:00:00 PM,3444.5,,,18.663,,,,
15,06/29/21 04:30:00 PM,3444.5,,,,,,,
16,06/29/21 05:00:00 PM,4477.8,,,23.101,,,,
17,06/29/21 05:30:00 PM,7577.8,,,,,,,
18,06/29/21 06:00:00 PM,581.3,,,11.279,,,,
19,06/29/21 06:30:00 PM,495.1,,,,,,,
20,06/29/21 07:00:00 PM,731.9,,,9.816,,,,
21,06/29/21 07:30:00 PM,129.2,,,,,,,
22,06/29/21 08:00:00 PM,43.1,,,8.479,,,,
23,06/29/21 08:30:00 PM,10.8,,,,,,,
24,06/29/21 09:00:00 PM,0.0,,,7.229,,,,
25,06/29/21 09:30:00 PM,0.0,,,,,,,
26,06/29/21 10:00:00 PM,0.0,,,7.179,,,,
27,06/29/21 10:30:00 PM,0.0,,,,,,,
28,06/29/21 11:00:00 PM,0.0,,,7.330,,,,
29,06/29/21 11:30:00 PM,0.0,,,,,,,
30,06/30/21 12:00:00 AM,0.0,33.953,2.837,6.619,,,,
31,06/30/21 12:30:00 AM,0.0,,,,,,,
32,06/30/21 01:00:00 AM,0.0,,,4.933,,,,
33,06/30/21 01:30:00 AM,0.0,,,,,,,
34,06/30/21 02:00:00 AM,0.0,,,4.415,,,,
35,06/30/21 02:30:00 AM,0.0,,,,,,,
36,06/30/21 03:00:00 AM,0.0,,,4.727,,,,
37,06/30/21 03:30:00 AM,0.0,,,,,,,
38,06/30/21 04:00:00 AM,0.0,,,3.577,,,,
39,06/30/21 04:30:00 AM,0.0,,,,,,,
40,06/30/21 05:00:00 AM,0.0,,,3.312,,,,
41,06/30/21 05:30:00 AM,0.0,,,,,,,
42,06/30/21 06:00:00 AM,53.8,,,2.837,,,,
43,06/30/21 06:30:00 AM,161.5,,,,,,,
44,06/30/21 07:00:00 AM,1894.5,,,5.689,,,,
45,06/30/21 07:30:00 AM,1302.4,,,,,,,
46,06/30/21 08:00:00 AM,3616.7,,,10.108,,,,
47,06/30/21 08:30:00 AM,2411.1,,,,,,,
48,06/30/21 09:00:00 AM,3100.0,,,13.794,,,,
49,06/30/21 09:30:00 AM,3961.1,,,,,,,
50,06/30/21 10:00:00 AM,10677.8,,,22.386,,,,
51,06/30/21 10:30:00 AM,4305.6,,,,,,,
52,06/30/21 11:00:00 AM,6200.0,,,19.139,,,,
53,06/30/21 11:30:00 AM,3444.5,,,,,,,
54,06/30/21 12:00:00 PM,4822.3,,,20.569,,,,
55,06/30/21 12:30:00 PM,4477.8,,,,,,,
56,06/30/21 01:00:00 PM,17222.3,,,27.011,,,,
57,06/30/21 01:30:00 PM,4822.3,,,,,,,
58,06/30/21 02:00:00 PM,13089.0,,,32.247,,,,
59,06/30/21 02:30:00 PM,10333.4,,,,,,,
60,06/30/21 03:00:00 PM,5511.1,,,32.968,,,,
61,06/30/21 03:30:00 PM,11022.3,,,,,,,
62,06/30/21 04:00:00 PM,5511.1,,,22.005,,,,
63,06/30/21 04:30:00 PM,2669.5,,,,,,,
64,06/30/21 05:00:00 PM,7233.4,,,19.187,,,,
65,06/30/21 05:30:00 PM,904.2,,,,,,,
66,06/30/21 06:00:00 PM,2669.5,,,19.901,,,,
67,06/30/21 06:30:00 PM,1894.5,,,,,,,
68,06/30/21 07:00:00 PM,172.2,,,10.944,,,,
69,06/30/21 07:30:00 PM,312.2,,,,,,,
70,06/30/21 08:00:00 PM,775.0,,,11.285,,,,
71,06/30/21 08:30:00 PM,301.4,,,,,,,
72,06/30/21 09:00:00 PM,0.0,,,10.406,,,,
73,06/30/21 09:30:00 PM,0.0,,,,,,,
74,06/30/21 10:00:00 PM,0.0,,,9.472,,,,
75,06/30/21 10:30:00 PM,0.0,,,,,,,
76,06/30/21 11:00:00 PM,0.0,,,9.274,,,,
77,06/30/21 11:30:00 PM,0.0,,,,,,,
78,07/01/21 12:00:00 AM,0.0,32.807,6.674,9.077,,,,
79,07/01/21 12:30:00 AM,0.0,,,,,,,
80,07/01/21 01:00:00 AM,0.0,,,8.481,,,,
81,07/01/21 01:30:00 AM,0.0,,,,,,,
82,07/01/21 02:00:00 AM,0.0,,,7.430,,,,
83,07/01/21 02:30:00 AM,0.0,,,,,,,
84,07/01/21 03:00:00 AM,0.0,,,7.179,,,,
85,07/01/21 03:30:00 AM,0.0,,,,,,,
86,07/01/21 04:00:00 AM,0.0,,,7.028,,,,
87,07/01/21 04:30:00 AM,0.0,,,,,,,
88,07/01/21 05:00:00 AM,0.0,,,6.826,,,,
89,07/01/21 05:30:00 AM,0.0,,,,,,,
90,07/01/21 06:00:00 AM,96.9,,,6.877,,,,
91,07/01/21 06:30:00 AM,409.0,,,,,,,
92,07/01/21 07:00:00 AM,2411.1,,,10.534,,,,
93,07/01/21 07:30:00 AM,2927.8,,,,,,,
94,07/01/21 08:00:00 AM,3616.7,,,16.283,,,,
95,07/01/21 08:30:00 AM,5166.7,,,,,,,
96,07/01/21 09:00:00 AM,2238.9,,,21.197,,,,
97,07/01/21 09:30:00 AM,9300.1,,,,,,,
98,07/01/21 10:00:00 AM,1463.9,,,20.198,,,,
99,07/01/21 10:30:00 AM,10333.4,,,,,,,
100,07/01/21 11:00:00 AM,2325.0,,,24.633,,,,
101,07/01/21 11:30:00 AM,26178.0,,,,,,,
102,07/01/21 12:00:00 PM,23422.4,,,28.789,,,,
103,07/01/21 12:30:00 PM,9300.1,,,,,,,
104,07/01/21 01:00:00 PM,2411.1,,,18.759,,,,
105,07/01/21 01:30:00 PM,3616.7,,,,,,,
106,07/01/21 02:00:00 PM,14466.8,,,31.935,,,,
107,07/01/21 02:30:00 PM,8611.2,,,,,,,
108,07/01/21 03:00:00 PM,12400.1,,,32.755,,,,
109,07/01/21 03:30:00 PM,9644.5,,,,,,,
110,07/01/21 04:00:00 PM,8611.2,,,31.218,,,,
111,07/01/21 04:30:00 PM,8611.2,,,,,,,
112,07/01/21 05:00:00 PM,8611.2,,,28.360,,,,
