file,year,site,n1,n2,n3
2018/bb/Hobo19-bbJinside-SN10542012.csv,2018,bb,Hobo19,bbJinside,SN10542012
2018/bb/Hobo27-bbHinside-SN10793179.csv,2018,bb,Hobo27,bbHinside,SN10793179
2018/bb/Hobo29-bbFout-SN10793181.csv,2018,bb,Hobo29,bbFout,SN10793181
2018/bb/Hobo7-bbIinside-SN10542008.csv,2018,bb,Hobo7,bbIinside,SN10542008
2018/bb/HoboDC101-bbFout-SN1027086.csv,2018,bb,HoboDC101,bbFout,SN1027086
2018/bb/HoboDC102-bbGinside-SN2006529.csv,2018,bb,HoboDC102,bbGinside,SN2006529
2018/bb/HoboDC103-bbHout-SN2006533.csv,2018,bb,HoboDC103,bbHout,SN2006533
2018/bb/HoboDC104-bbIout-SN1027087.csv,2018,bb,HoboDC104,bbIout,SN1027087
2018/bb/HoboDC105-bbJout-SN2006528.csv,2018,bb,HoboDC105,bbJout,SN2006528
2018/GNA/Hobo1-gnaAinside-SN10369064.csv,2018,GNA,Hobo1,gnaAinside,SN10369064
2018/GNA/Hobo10-gnaEinside-SN10542020.csv,2018,GNA,Hobo10,gnaEinside,SN10542020
2018/GNA/Hobo11-gnaBoutside-SN10542017.csv,2018,GNA,Hobo11,gnaBoutside,SN10542017
2018/GNA/Hobo13-gnaCinside-SN10542014.csv,2018,GNA,Hobo13,gnaCinside,SN10542014
2018/GNA/Hobo17-gnaCoutside-SN10542018.csv,2018,GNA,Hobo17,gnaCoutside,SN10542018
2018/GNA/Hobo2-gnaDinside-SN10369061.csv,2018,GNA,Hobo2,gnaDinside,SN10369061
2018/GNA/Hobo22-gnaAoutside-SN10793186.csv,2018,GNA,Hobo22,gnaAoutside,SN10793186
2018/GNA/Hobo4-gnaBinside-SN10369048.csv,2018,GNA,Hobo4,gnaBinside,SN10369048
2018/GNA/Hobo8-gnaDoutside-SN10542007.csv,2018,GNA,Hobo8,gnaDoutside,SN10542007
2019/GNA/Hobo12-gnaZoutside2019-SN10542013.csv,2019,GNA,Hobo12,gnaZoutside2019,SN10542013
2019/GNA/Hobo21-gnaXinside2019-SN10793185.csv,2019,GNA,Hobo21,gnaXinside2019,SN10793185
2019/GNA/Hobo22-gnaZinside2019-SN10793186.csv,2019,GNA,Hobo22,gnaZinside2019,SN10793186
2019/GNA/Hobo27-gnaYoutside2019-SN10793179.csv,2019,GNA,Hobo27,gnaYoutside2019,SN10793179
2019/GNA/Hobo28-gnaVoutside2019-SN10793180.csv,2019,GNA,Hobo28,gnaVoutside2019,SN10793180
2019/GNA/Hobo29-gnaVinside2019-SN10793181.csv,2019,GNA,Hobo29,gnaVinside2019,SN10793181
2019/GNA/Hobo3-gnaYinside2019-SN10369065.csv,2019,GNA,Hobo3,gnaYinside2019,SN10369065
2019/GNA/HOBO31-gnaXoutside2019-SN10793176.csv,2019,GNA,HOBO31,gnaXoutside2019,SN10793176
2019/GNA/HOBO32-gnaWinside2019-SN10793182.csv,2019,GNA,HOBO32,gnaWinside2019,SN10793182
2019/GNA/HOBO7-gnaWoutside2019-SN10542008.csv,2019,GNA,HOBO7,gnaWoutside2019,SN10542008
2019/Percivals/1031723_Plot_5_warm_Percival.csv,2019,Percivals,1031723_Plot_5_warm_Percival,NA,NA
2019/Percivals/HoboDC102-SN2006529-percivals2019cool.csv,2019,Percivals,HoboDC102,SN2006529,percivals2019cool
2019/Percivals/HoboDC105-SN2006528-percivals2019warm.csv,2019,Percivals,HoboDC105,SN2006528,percivals2019warm
2019/SC/Hobo1-scrBoutside2019-SN10369064.csv,2019,SC,Hobo1,scrBoutside2019,SN10369064
2019/SC/Hobo10-scrDinside2019-SN10542020.csv,2019,SC,Hobo10,scrDinside2019,SN10542020
2019/SC/Hobo11-scrEoutside2019-SN10542017.csv,2019,SC,Hobo11,scrEoutside2019,SN10542017
2019/SC/Hobo17-scrAinside2019-SN10542018.csv,2019,SC,Hobo17,scrAinside2019,SN10542018
2019/SC/Hobo2-scrEinside2019-SN10369061.csv,2019,SC,Hobo2,scrEinside2019,SN10369061
2019/SC/Hobo30-scrBinside2019-SN10793175.csv,2019,SC,Hobo30,scrBinside2019,SN10793175
2019/SC/Hobo4-scrDoutside2019-SN10369048.csv,2019,SC,Hobo4,scrDoutside2019,SN10369048
2019/SC/Hobo8-scrAoutside2019-SN10542007.csv,2019,SC,Hobo8,scrAoutside2019,SN10542007
2021/GNA/DRC2-chamberLout.csv,2021,GNA,DRC2,chamberLout,NA
2021/GNA/Hobo24-chamberLin.csv,2021,GNA,Hobo24,chamberLin,NA
2021/GNA/Hobo28-chamberPin.csv,2021,GNA,Hobo28,chamberPin,NA
2021/GNA/Hobo3-chamberRSout.csv,2021,GNA,Hobo3,chamberRSout,NA
2021/GNA/RMBL1-chamberRin.csv,2021,GNA,RMBL1,chamberRin,NA
2021/GNA/RMBL10-chamberKin.csv,2021,GNA,RMBL10,chamberKin,NA
2021/GNA/RMBL20-chamberNin.csv,2021,GNA,RMBL20,chamberNin,NA
2021/GNA/RMBL3-chamberQin.csv,2021,GNA,RMBL3,chamberQin,NA
2021/GNA/RMBL4-chamberMin.csv,2021,GNA,RMBL4,chamberMin,NA
2021/GNA/RMBL6-chamblerPQout.csv,2021,GNA,RMBL6,chamblerPQout,NA
2021/GNA/RMBL9-chamberMout.csv,2021,GNA,RMBL9,chamberMout,NA
2021/Maxfield/10793175-hobo30.csv,2021,Maxfield,10793175,hobo30,NA
2021/Maxfield/Hobo_27_-_SN_10793179.csv,2021,Maxfield,Hobo_27_,_SN_10793179,NA
2021/Maxfield/Hobo#1-SN10369064.csv,2021,Maxfield,Hobo#1,SN10369064,NA
2021/Maxfield/Hobo#10-SN10542020.csv,2021,Maxfield,Hobo#10,SN10542020,NA
2021/Maxfield/Hobo#11-SN10542017.csv,2021,Maxfield,Hobo#11,SN10542017,NA
2021/Maxfield/Hobo#12-10542013.csv,2021,Maxfield,Hobo#12,10542013,NA
2021/Maxfield/Hobo#17-#10542018.csv,2021,Maxfield,Hobo#17,#10542018,NA
2021/Maxfield/Hobo#19.csv,2021,Maxfield,Hobo#19,NA,NA
2021/Maxfield/Hobo#22-SN10793186.csv,2021,Maxfield,Hobo#22,SN10793186,NA
2021/Maxfield/Hobo#4-SN10369048.csv,2021,Maxfield,Hobo#4,SN10369048,NA
2021/Maxfield/Hobo#8-SN10542007.csv,2021,Maxfield,Hobo#8,SN10542007,NA
2021/Maxfield/Hobo13.csv,2021,Maxfield,Hobo13,NA,NA
2021/Maxfield/Hobo21-SN10793185.csv,2021,Maxfield,Hobo21,SN10793185,NA
2021/Maxfield/Hobo29-SN10793181.csv,2021,Maxfield,Hobo29,SN10793181,NA
2021/Maxfield/HOBO31-10793176.csv,2021,Maxfield,HOBO31,10793176,NA
2021/Maxfield/HOBO32-10793182.csv,2021,Maxfield,HOBO32,10793182,NA
2021/Maxfield/RMBL_hobo17.csv,2021,Maxfield,RMBL_hobo17,NA,NA
2021/SC/Hobo14-chamberIin.csv,2021,SC,Hobo14,chamberIin,NA
2021/SC/Hobo2-ChamberHin.csv,2021,SC,Hobo2,ChamberHin,NA
2021/SC/RMBL11-chamberIout.csv,2021,SC,RMBL11,chamberIout,NA
2021/SC/RMBL12-chamberBin.csv,2021,SC,RMBL12,chamberBin,NA
2021/SC/RMBL15-chamberEin.csv,2021,SC,RMBL15,chamberEin,NA
2021/SC/RMBL2-chamberBout.csv,2021,SC,RMBL2,chamberBout,NA
2021/SC/RMBL5-chamberCout.csv,2021,SC,RMBL5,chamberCout,NA
2021/SC/RMBL6-chamberHout.csv,2021,SC,RMBL6,chamberHout,NA
2021/SC/RMBL7-chamberFGout.csv,2021,SC,RMBL7,chamberFGout,NA
2021/SC/UR2-chamberGin.csv,2021,SC,UR2,chamberGin,NA
2021/SC/UR3-chamberDin.csv,2021,SC,UR3,chamberDin,NA
2021/SC/UR4-chamberAout.csv,2021,SC,UR4,chamberAout,NA
2021/SC/UR5-chamberAin.csv,2021,SC,UR5,chamberAin,NA
