plantid,notes,scribe,observer,date,plot,subplot,plant,inflor,height_cm,open_1,buds_1,eggs_1,open_2,buds_2,eggs_2,open_3,buds_3,eggs_3,open_4,buds_4,eggs_4,open_5,buds_5,eggs_5,open_6,buds_6,eggs_6,open_7,buds_7,eggs_7,damage
1B684,,JP,XL,2021-06-23,1,B,684,1,42,1,1,1,,,,,,,,,,,,,,,,,,,
1C49,,JP,DH,2021-06-23,1,C,49,1,42,10,5,5,,,,,,,,,,,,,,,,,,,
1B666,,JP,XL,2021-06-23,1,B,666,1,53,4,4,4,,,,,,,,,,,,,,,,,,,
2B154,,JP,XL,2021-06-23,2,B,154,1,47,1,0,0,,,,,,,,,,,,,,,,,,,
2A902,,JP,DH,2021-06-23,2,A,902,1,65,16,6,15,,,,,,,,,,,,,,,,,,,
2B905,,JP,XL,2021-06-23,2,B,905,2,49,1,0,2,2,2,0,,,,,,,,,,,,,,,,
2B93,,JP,XL,2021-06-23,2,B,93,1,45,13,2,9,,,,,,,,,,,,,,,,,,,
2A903,,JP,DH,2021-06-23,2,A,903,1,49,6,4,7,,,,,,,,,,,,,,,,,,,
3B623,,JP,XL,2021-06-23,3,B,623,2,27,0,1,0,,,,,,,,,,,,,,,,,,,
3D894,,JP,DH,2021-06-23,3,D,894,1,44,1,2,1,,,,,,,,,,,,,,,,,,,
3D888,,JP,XL,2021-06-23,3,D,888,1,49,2,2,1,,,,,,,,,,,,,,,,,,,
4B190,,JP,XL,2021-06-23,4,B,190,1,36.5,3,2,0,,,,,,,,,,,,,,,,,,,
4C190,,JP,DH,2021-06-23,4,C,190,1,43.5,4,6,6,,,,,,,,,,,,,,,,,,,
4B165,,JP,XL,2021-06-23,4,B,165,2,54,3,3,2,7,3,5,,,,,,,,,,,,,,,,
4C120,,JP,DH,2021-06-23,4,C,120,1,31,1,1,0,,,,,,,,,,,,,,,,,,,
4B173,,JP,XL,2021-06-23,4,B,173,1,42,9,7,6,,,,,,,,,,,,,,,,,,,
5D911,,JP,DH,2021-06-23,5,D,911,1,48,11,6,4,,,,,,,,,,,,,,,,,,,
5B908,,JP,XL,2021-06-23,5,B,908,1,47,9,6,8,,,,,,,,,,,,,,,,,,,
5D251,,JP,DH,2021-06-23,5,D,251,1,26,9,2,4,,,,,,,,,,,,,,,,,,,
5B909,1 stalk with 7 inflos,JP,XL,2021-06-23,5,B,909,7,39,1,2,0,,,,,,,,,,,,,,,,,,,
5D910,,JP,DH,2021-06-23,5,D,910,1,31.5,10,4,5,,,,,,,,,,,,,,,,,,,
5B7,,JP,XL,2021-06-23,5,B,7,1,31,5,2,1,,,,,,,,,,,,,,,,,,,
5B907,,JP,XL,2021-06-23,5,B,907,1,65,6,5,13,,,,,,,,,,,,,,,,,,,
5D277,,JP,DH,2021-06-23,5,D,277,1,37,9,3,3,,,,,,,,,,,,,,,,,,,
6C913,,JP,XL,2021-06-23,6,C,913,1,49,6,0,5,,,,,,,,,,,,,,,,,,,
6A912,,JP,DH,2021-06-23,6,A,912,1,39,1,0,1,,,,,,,,,,,,,,,,,,,
