observer,date,OTC,location,plant,corolla_length,corolla_width,notes
CAW,2021-07-08,J,out,XJ388,24,3.2,
CAW,2021-07-08,J,out,XJ388,25.2,2.7,
CAW,2021-07-08,J,out,XJ15,26.9,3,
CAW,2021-07-08,J,out,XJ15,27.9,2.8,
CAW,2021-07-08,J,out,XJ150,26.6,3.9,
CAW,2021-07-08,J,out,XJ150,28.6,4.5,
CAW,2021-07-08,J,in,J11,25.2,3.1,
CAW,2021-07-08,J,in,J11,25.3,2.9,
CAW,2021-07-08,J,in,J3,28.8,2.8,
CAW,2021-07-08,J,in,J3,29.9,2.9,
CAW,2021-07-08,J,in,J194,26.1,3.3,
CAW,2021-07-08,J,in,J194,26.7,2.9,
CAW,2021-07-08,J,.,J22,.,.,no open flowers - browsed
CAW,2021-07-08,L,in,L14,23.4,3.2,
CAW,2021-07-08,L,in,L14,25.9,3.4,
CAW,2021-07-08,L,in,L760,26.2,3.3,
CAW,2021-07-08,L,in,L760,24.5,3.2,
CAW,2021-07-08,L,in,L396,27,3.4,
CAW,2021-07-08,L,in,L396,28.2,3.6,
CAW,2021-07-08,L,in,L199,32.1,2.8,
CAW,2021-07-08,L,in,L199,24.1,3.6,
CAW,2021-07-08,L,in,L21,24,3.3,
CAW,2021-07-08,L,in,L21,24,3.1,
CAW,2021-07-08,L,out,XL183,24.8,3.8,
CAW,2021-07-08,L,out,XL183,23.6,3.6,
CAW,2021-07-08,L,out,XL360,23,3.3,
CAW,2021-07-08,L,out,XL360,23.6,3.2,
CAW,2021-07-08,K,out,XK158,24.2,2.7,
CAW,2021-07-08,K,out,XK158,24.4,3,
CAW,2021-07-08,K,out,XK616,29.1,3.4,
CAW,2021-07-08,K,out,XK203,29,3.2,
CAW,2021-07-08,K,out,XK203,23.9,3,
CAW,2021-07-08,K,in,K1,23.2,3.4,
CAW,2021-07-08,K,in,K1,25.8,3.2,
CAW,2021-07-08,K,in,K313,26,3.5,
CAW,2021-07-08,K,in,K313,27.5,3.3,
CAW,2021-07-08,K,in,K49,26.6,3.3,
CAW,2021-07-08,K,in,K49,27.9,3,
CAW,2021-07-08,K,in,K81,27.2,3.4,
