n	Filename	Lead	Year	Expt	Site	Temp	PlantType	Type	OI	Sample	Sample2	nomatch	DNLeaf	DN	Tissue	SampleDate_text	SampleDate_format	Date	RunDate_text	RunDate	GCOrder	Drop	Notes
37	Air1renamedJuly25_08312018.qgd	Air1renamedJuly25	2018	otc	GNA		agg	Air	air	1	Air1			day	air	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
39	Air2renamedJuly25_08312018.qgd	Air2renamedJuly25	2018	otc	GNA		agg	Air	air	2	Air2			day	air	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
38	Air2July25redo_08312018.qgd	Air2July25redo	2018	otc	GNA		agg	Air	air	2redo	Air2redo			day	air	July25redo	Jul 25 2018	2018-07-25	8312018	2018-08-31			
42	Air3renamedJuly25_08312018.qgd	Air3renamedJuly25	2018	otc	GNA		agg	Air	air	3	Air3			day	air	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
53	AirlastJuly25_08312018.qgd	AirlastJuly25	2018	otc	GNA		agg	Air	air	last	Airlast	nm		day	air	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
54	AirNrenamedJuly25_08312018.qgd	AirNrenamedJuly25	2018	otc	GNA		agg	Air	air	N	AirN			day	air	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
114	NatAreaA1DJul25_08302018.qgd	NatAreaA1DJul25	2018	otc	GNA		agg	NatArea	in	A1D	A1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
115	NatAreaA2DJul25_08302018.qgd	NatAreaA2DJul25	2018	otc	GNA		agg	NatArea	in	A2D	A2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
116	NatAreaB1DJul25_08302018.qgd	NatAreaB1DJul25	2018	otc	GNA		agg	NatArea	in	B1D	B1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
117	NatAreaB2DJul25_08302018.qgd	NatAreaB2DJul25	2018	otc	GNA		agg	NatArea	in	B2D	B2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
118	NatAreaC1DJul25_08302018.qgd	NatAreaC1DJul25	2018	otc	GNA		agg	NatArea	in	C1D	C1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
119	NatAreaC2DJul25_08302018.qgd	NatAreaC2DJul25	2018	otc	GNA		agg	NatArea	in	C2D	C2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
120	NatAreaC3DJuly25_08312018.qgd	NatAreaC3DJuly25	2018	otc	GNA		agg	NatArea	in	C3D	C3		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31		1	redone
121	redo	NatAreaC3DJuly25redo	2018	otc	GNA		agg	NatArea	in	C3D	C3		day	day	flower	July25redo	Jul 25 2018	2018-07-25	8312018	2018-08-31			redone
122	NatAreaD1DJul25_08302018.qgd	NatAreaD1DJul25	2018	otc	GNA		agg	NatArea	in	D1D	D1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
123	NatAreaD2DJul25_08302018.qgd	NatAreaD2DJul25	2018	otc	GNA		agg	NatArea	in	D2D	D2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
124	NatAreaD3DJul25_08302018.qgd	NatAreaD3DJul25	2018	otc	GNA		agg	NatArea	in	D3D	D3		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
126	NatAreaE1DJul25_08302018.qgd	NatAreaE1DJul25	2018	otc	GNA		agg	NatArea	in	E1D	E1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
127	NatAreaE2DJul25_08302018.qgd	NatAreaE2DJul25	2018	otc	GNA		agg	NatArea	in	E2D	E2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
128	NatAreaE3DJul25_08302018.qgd	NatAreaE3DJul25	2018	otc	GNA		agg	NatArea	in	E3D	E3		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
130	NatAreaKM10A1Jul25_08302018.qgd	NatAreaKM10A1Jul25	2018	otc	GNA		agg	NatArea	in	KM10A1	KM10A1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
131	NatAreaKM10B2renamedJuly25_08312018.qgd	NatAreaKM10B2renamedJuly25	2018	otc	GNA		agg	NatArea	in	KM10B2	KM10B2		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
132	NatAreaKM10C1Jul25_08302018.qgd	NatAreaKM10C1Jul25	2018	otc	GNA		agg	NatArea	in	KM10C1	KM10C1		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
133	NatAreaKM10C2Jul25_08302018.qgd	NatAreaKM10C2Jul25	2018	otc	GNA		agg	NatArea	in	KM10C2	KM10C2		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
134	NatAreaKM10D1renamedJuly25_08312018.qgd	NatAreaKM10D1renamedJuly25	2018	otc	GNA		agg	NatArea	in	KM10D1	KM10D1		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
139	NatAreaKM13B1renamedJuly25_08312018.qgd	NatAreaKM13B1renamedJuly25	2018	otc	GNA		agg	NatArea	in	KM13B1	KM13B1		day	day	flower	July25	Jul 25 2018	2018-07-26	8312018	2018-08-31			
142	NatAreaKM14A1renamedJuly25_08312018.qgd	NatAreaKM14A1renamedJuly25	2018	otc	GNA		agg	NatArea	in	KM14A1	KM14A1		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
143	NatAreaKM14C1renamedJuly25_08312018.qgd	NatAreaKM14C1renamedJuly25	2018	otc	GNA		agg	NatArea	in	KM14C1	KM14C1		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
146	NatAreaX02DJul25_08302018.qgd	NatAreaX02DJul25	2018	otc	GNA		agg	NatArea	in	X02D	X02		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
147	NatAreaXUP01July25_08312018.qgd	NatAreaXUP01July25	2018	otc	GNA		agg	NatArea	in	XUP01	XUP01	nm	day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
100	NatArea112renamedJuly25_08312018.qgd	NatArea112renamedJuly25	2018	otc	GNA		agg	NatArea	out	112	112		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
103	NatArea120renamedJuly25_08312018.qgd	NatArea120renamedJuly25	2018	otc	GNA		agg	NatArea	out	120	120		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
106	NatArea1402renamedJuly25_08312018.qgd	NatArea1402renamedJuly25	2018	otc	GNA		agg	NatArea	out	1402	KM1402		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
101	NatArea116DJul25_08302018.qgd	NatArea116DJul25	2018	otc	GNA		agg	NatArea	out	116D	116		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
105	NatArea136DJul25_08302018.qgd	NatArea136DJul25	2018	otc	GNA		agg	NatArea	out	136D	136		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
107	NatArea20DJul25_08302018.qgd	NatArea20DJul25	2018	otc	GNA		agg	NatArea	out	20D	20		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
108	NatArea219DJul25_08302018.qgd	NatArea219DJul25	2018	otc	GNA		agg	NatArea	out	219D	219		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
109	NatArea320DJul25_08302018.qgd	NatArea320DJul25	2018	otc	GNA		agg	NatArea	out	320D	320		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
110	NatArea370DJul25_08302018.qgd	NatArea370DJul25	2018	otc	GNA		agg	NatArea	out	370D	370		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
111	NatArea394DJul25_08302018.qgd	NatArea394DJul25	2018	otc	GNA		agg	NatArea	out	394D	394		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
112	NatArea69DJul25_08302018.qgd	NatArea69DJul25	2018	otc	GNA		agg	NatArea	out	69D	69		day	day	flower	Jul25	Jul 25 2018	2018-07-25	8302018	2018-08-30			
136	NatAreaKM114renamedJuly25_08312018.qgd	NatAreaKM114renamedJuly25	2018	otc	GNA		agg	NatArea	out	KM114	114		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
141	NatAreaKM1401renamedJuly25_08312018.qgd	NatAreaKM1401renamedJuly25	2018	otc	GNA		agg	NatArea	out	KM1401	KM1401		day	day	flower	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
113	NatArea69leafrenamedJuly25_08312018.qgd	NatArea69leafrenamedJuly25	2018	otc	GNA		agg	NatArea	out	69	69		leaf	day	leaf	July25	Jul 25 2018	2018-07-25	8312018	2018-08-31			
52	AirJuly26_08312018.qgd	AirJuly26	2018	otc	GNA		agg	Air	air		Air		day	day	air	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
102	NatArea11C2July26_08312018.qgd	NatArea11C2July26	2018	otc	GNA		agg	NatArea	in	11C2	KM11C2		day	day	flower	July26	Jul 26 2018	2018-07-26	8312018	2018-08-31			
