Filename	site	vial	sampledate	rundate	GCn	drop	Notes
GNA_1_210716_7182021_13.qgd	GNA	1	210716	7182021	13		
GNA_2_210716_7182021_14.qgd	GNA	2	210716	7182021	14		
GNA_3_210716_7182021_15.qgd	GNA	3	210716	7182021	15		
GNA_4__210716_7182021_18.qgd	GNA	4	210716	7182021	18		
GNA_5_210716_7182021_16.qgd	GNA	5	210716	7182021	16		
GNA_6__210716_7182021_19.qgd	GNA	6	210716	7182021	19		
GNA_10_210716_7192021_10.qgd	GNA	10	210716	7192021	10		
GNA_11_210716_7192021_06.qgd	GNA	11	210716	7192021	6		
GNA_12_210716_7192021_07.qgd	GNA	12	210716	7192021	7		
GNA_13_210716_7192021_08.qgd	GNA	13	210716	7192021	8		
GNA_14_210716_7192021_09.qgd	GNA	14	210716	7192021	9		
GNA_15_210716_7192021_11.qgd	GNA	15	210716	7192021	11		
GNA_16_210716_7192021_12.qgd	GNA	16	210716	7192021	12		
GNA_24_210716_7192021_19.qgd	GNA	24	210716	7192021	19	1	redone?
GNA_29_210716_7192021_18.qgd	GNA	29	210716	7192021	18		
GNA_31_210716_7192021_20.qgd	GNA	31	210716	7192021	20		
GNA_32_210716_7192021_14.qgd	GNA	32	210716	7192021	14		
GNA_33_210716_7192021_13.qgd	GNA	33	210716	7192021	13		
GNA_34_210716_7192021_15.qgd	GNA	34	210716	7192021	15		
GNA_35_210716_7192021_17.qgd	GNA	35	210716	7192021	17		
GNA_36_210716_7192021_16.qgd	GNA	36	210716	7192021	16		
GNA_7_210716_7192021_02.qgd	GNA	7	210716	7192021	2		
GNA_8_210716_7192021_05.qgd	GNA	8	210716	7192021	5		
GNA_9_210716_7192021_04.qgd	GNA	9	210716	7192021	4		
GNA_17_210716_7202021_18.qgd	GNA	17	210716	7202021	18		
GNA_21_210716_7202021_19.qgd	GNA	21	210716	7202021	19		
GNA_24_210716_7202021_20.qgd	GNA	24	210716	7202021	20		redo?
SC_52_210715_7282021_19.qgd	SC	52	210715	7282021	19		
SC_53_210715_7282021_20.qgd	SC	53	210715	7282021	20	1	redone?
SC_53_210715_7292021_17.qgd	SC	53	210715	7292021	17		redo?
SC_66_210715_7292021_18.qgd	SC	66	210715	7292021	18		
SC_67_210715_7292021_19.qgd	SC	67	210715	7292021	19		
SC_68_210715_7292021_20.qgd	SC	68	210715	7292021	20		
GNA_121_210730_7312021_05.qgd	GNA	121	210730	7312021	5		
GNA_122_210730_7312021_10.qgd	GNA	122	210730	7312021	10		
GNA_124_210730_7312021_09.qgd	GNA	124	210730	7312021	9		
GNA_125_210730_7312021_04.qgd	GNA	125	210730	7312021	4		two GNA_125s on this rundate
GNA_125_210730_7312021_11.qgd	GNA	123	210730	7312021	11		two GNA_125s on this rundate, changed vial 125>123 (proximity, missing metadata)
GNA_126_210730_7312021_03.qgd	GNA	126	210730	7312021	3		
GNA_127_210730_7312021_02.qgd	GNA	127	210730	7312021	2		
GNA_128_210730_7312021_06.qgd	GNA	128	210730	7312021	6		
GNA_129_210730_7312021_07.qgd	GNA	129	210730	7312021	7		
GNA_130_210730_7312021_08.qgd	GNA	130	210730	7312021	8		
GNA_132_210730_7312021_19.qgd	GNA	132	210730	7312021	19		
GNA_133_210730_7312021_20.qgd	GNA	133	210730	7312021	20		
GNA_135_210730_7312021_17.qgd	GNA	135	210730	7312021	17		
GNA_136_210730_7312021_18.qgd	GNA	136	210730	7312021	18		
GNA_137_210730_7312021_13.qgd	GNA	137	210730	7312021	13		
GNA_138_210730_7312021_14.qgd	GNA	138	210730	7312021	14		
GNA_139_210730_7312021_16.qgd	GNA	139	210730	7312021	16		
GNA_140_210730_7312021_15.qgd	GNA	140	210730	7312021	15		
GNA_141_210730_7312021_12.qgd	GNA	141	210730	7312021	12		
GNA_101_210729_812021_02.qgd	GNA	101	210729	812021	2		
GNA_102_210729_812021_03.qgd	GNA	102	210729	812021	3		
GNA_103_210729_812021_04.qgd	GNA	103	210729	812021	4		
GNA_104_210729_812021_05.qgd	GNA	104	210729	812021	5		
GNA_105_210729_812021_06.qgd	GNA	105	210729	812021	6		
GNA_106_210729_812021_07.qgd	GNA	106	210729	812021	7		
GNA_107_210729_812021_08.qgd	GNA	107	210729	812021	8		
GNA_108_210729_812021_09.qgd	GNA	108	210729	812021	9		
GNA_109_210729_812021_10.qgd	GNA	109	210729	812021	10		
GNA_110_210729_812021_11.qgd	GNA	110	210729	812021	11		
GNA_111_210729_812021_12.qgd	GNA	111	210729	812021	12		
GNA_112_210729_812021_13.qgd	GNA	112	210729	812021	13		
GNA_113_210729_812021_14.qgd	GNA	113	210729	812021	14		
GNA_114_210729_812021_15.qgd	GNA	114	210729	812021	15		
GNA_115_210729_812021_16.qgd	GNA	115	210729	812021	16		
GNA_116_210729_812021_17.qgd	GNA	116	210729	812021	17		
GNA_117_210729_812021_18.qgd	GNA	117	210729	812021	18		
GNA_118_210729_812021_19.qgd	GNA	118	210729	812021	19		
