class	name	RI	CAS	ten.GR.day.mean	ten.GR.day.se	ten.GR.night.mean	ten.GR.night.se	agg.GR.day.mean	agg.GR.day.se	agg.GR.night.mean	agg.GR.night.se	ten.PG.day.mean	ten.PG.day.se	ten.PG.night.mean	ten.PG.night.se	agg.PG.day.mean	agg.PG.day.se	agg.PG.night.mean	agg.PG.night.se	hyb.PG.day.mean	hyb.PG.day.se	hyb.PG.night.mean	hyb.PG.night.se
aliphatic	1,3-Octadiene	954	1002-33-1	36.20	36.20	0.00	0.00	75.26	75.26	139.67	70.72	217.40	137.28	14.06	12.19	56.61	56.61	4.73	4.73	0.00	0.00	27.63	18.37
aliphatic	Pentan-1-ol	1258	71-41-0	1.04	0.50	1.37	0.59	2.49	0.68	3.62	1.98	3.69	1.40	1.21	0.37	0.00	0.00	2.18	0.67	12.24	1.83	1.97	0.74
aliphatic	(Z)-3-Hexenyl acetate	1284	3681-71-8	13.68	10.01	2.59	1.02	14.75	6.87	1.84	1.15	3.46	0.68	1.98	0.94	37.47	21.63	6.29	1.73	10.69	3.79	0.91	0.75
aliphatic	Hexan-1-ol	1314	111-27-3	18.10	12.50	0.02	0.02	2.93	1.82	8.39	6.73	0.00	0.00	0.00	0.00	8.11	3.45	0.00	0.00	8.82	1.48	0.47	0.47
aliphatic	(E)-3-Hexen-1-ol 	1344	928-97-2	107.32	79.50	23.20	8.97	49.48	24.07	5.75	3.68	15.44	4.75	4.21	1.42	96.19	64.47	12.93	5.75	63.10	21.47	2.80	1.29
aliphatic	(Z)-3-Hexen-1-ol 	1397	928-96-1	16.85	14.86	5.66	5.66	4.60	3.74	3.90	3.72	0.00	0.00	0.00	0.00	0.73	0.65	0.00	0.00	17.19	9.14	0.00	0.00
aliphatic	(E)-3-Hexenyl butyrate 	1474	53398-84-8	1.21	0.77	4.32	2.99	0.61	0.42	4.27	3.63	0.20	0.20	0.00	0.00	0.68	0.68	0.04	0.04	1.52	0.45	0.00	0.00
benzenoid	Anisole	1367	100-66-3	4.08	3.39	0.94	0.35	4.46	4.46	8.21	3.33	8.09	3.40	1.34	0.91	2.69	1.78	68.73	46.50	0.05	0.01	2.07	0.96
benzenoid	Benzaldehyde	1535	100-52-7	16.18	8.29	5.83	1.21	16.71	7.31	22.14	6.90	23.67	9.03	5.11	1.53	16.28	6.23	3.17	0.72	9.17	1.16	13.24	3.17
benzenoid	Methyl benzoate	1620	93-58-3	1.66	1.43	0.47	0.20	4.24	2.70	3.50	1.32	1.22	0.43	0.91	0.18	0.33	0.12	0.58	0.32	1.22	0.35	0.25	0.17
benzenoid	Benzyl acetate	1751	140-11-4	0.63	0.51	0.47	0.12	0.67	0.44	1.20	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
benzenoid	Methyl salicylate	1806	89-46-3	23.83	14.58	22.36	5.18	20.14	11.42	43.73	14.22	27.72	11.11	8.60	1.99	19.73	9.19	4.40	4.40	20.41	5.03	14.71	3.37
