Filename,Batch,Maxfield,Year,Filename2,RunDate,Seq,Notes
1C949_210708_782021_02.qgd,maxfield210708.txt,1,2021,1C949_NA_210708_782021_02.qgd,2021-07-08,2,
1C901_210708_782021_03.qgd,maxfield210708.txt,1,2021,1C901_NA_210708_782021_03.qgd,2021-07-08,3,
1C948_210708_782021_04.qgd,maxfield210708.txt,1,2021,1C948_NA_210708_782021_04.qgd,2021-07-08,4,
1C57_210708_782021_05.qgd,maxfield210708.txt,1,2021,1C57_NA_210708_782021_05.qgd,2021-07-08,5,
1B677_210708_782021_06.qgd,maxfield210708.txt,1,2021,1B677_NA_210708_782021_06.qgd,2021-07-08,6,
1C951_210708_782021_07.qgd,maxfield210708.txt,1,2021,1C951_NA_210708_782021_07.qgd,2021-07-08,7,
1B666_210708_782021_08.qgd,maxfield210708.txt,1,2021,1B666_NA_210708_782021_08.qgd,2021-07-08,8,
2A903_210708_782021_09.qgd,maxfield210708.txt,1,2021,2A903_NA_210708_782021_09.qgd,2021-07-08,9,
2B905_210708_782021_10.qgd,maxfield210708.txt,1,2021,2B905_A_210708_782021_10.qgd,2021-07-08,10,ths is sample A
3B623_210708_782021_11.qgd,maxfield210708.txt,1,2021,3B623_NA_210708_782021_11.qgd,2021-07-08,11,
3B952_210708_782021_12.qgd,maxfield210708.txt,1,2021,3B952_NA_210708_782021_12.qgd,2021-07-08,12,
3B624_210708_782021_13.qgd,maxfield210708.txt,1,2021,3B624_NA_210708_782021_13.qgd,2021-07-08,13,
air_210708_782021_14.qgd,maxfield210708.txt,1,2021,3Dair_NA_210708_782021_14.qgd,2021-07-08,14,CW in 3D we think
3D858_210708_782021_15.qgd,maxfield210708.txt,1,2021,3D858_NA_210708_782021_15.qgd,2021-07-08,15,
3D255_210708_782021_16.qgd,maxfield210708.txt,1,2021,3D255_NA_210708_782021_16.qgd,2021-07-08,16,
3D906_210708_782021_17.qgd,maxfield210708.txt,1,2021,3B906_NA_210708_782021_17.qgd,2021-07-08,17,"typed subplot wrong, should be 3B"
2B93_210708_782021_18.qgd,maxfield210708.txt,1,2021,2B93_NA_210708_782021_18.qgd,2021-07-08,18,
2B905_210708_782021_19.qgd,maxfield210708.txt,1,2021,2B905_B_210708_782021_19.qgd,2021-07-08,19,somewhat arbitrarily calling this sample B
3D887_210708_782021_20.qgd,maxfield210708.txt,1,2021,3D891_NA_210708_782021_20.qgd,2021-07-08,20,changed plant from 887 to 891
1C53_210708_782021_22.qgd,maxfield210708.txt,1,2021,1C53_NA_210708_782021_22.qgd,2021-07-08,22,
1B950_210708_782021_23.qgd,maxfield210708.txt,1,2021,1B950_NA_210708_782021_23.qgd,2021-07-08,23,
2A902_210708_782021_24.qgd,maxfield210708.txt,1,2021,2A902_NA_210708_782021_24.qgd,2021-07-08,24,
5Dair_15_210709_792021_02.qgd,maxfield210709.txt,1,2021,5Dair_15_210709_792021_02.qgd,2021-07-09,2,
5Bair_25_210709_792021_03.qgd,maxfield210709.txt,1,2021,5Bair_25_210709_792021_03.qgd,2021-07-09,3,
5B908_27_210709_792021_04.qgd,maxfield210709.txt,1,2021,5B908_27_210709_792021_04.qgd,2021-07-09,4,
