name	value	Name
(E)-hex-2-enal	0.13906146340874728	2-Hexenal, (E)-
3-methylbutanal oxime	0.0823607594849556	Butanal, 3-methyl-, oxime
a-pinene	0.2222711848633481	(1R)-2,6,6-Trimethylbicyclo[3.1.1]hept-2-ene
b-myrcene	0.20689519085596314	.beta.-Myrcene
(Z)-b-ocimene	0.20186509628392701	trans-.beta.-Ocimene
(E)-b-ocimene	0.13604509346714072	.beta.-Ocimene
g-terpinene	0.1829551286684687	.gamma.-Terpinene
methyl benzoate	0.30874622198750207	Benzoic acid, methyl ester
linalool	0.12687870700128256	Linalool
(3E)-4,8-dimethylnona-1,3,7-triene	0.19629289817410467	(E)-4,8-Dimethylnona-1,3,7-triene
2-methylbenzonitrile	0.18245928925542826	Benzonitrile, 2-methyl-
2-methylbenzonitrile	0.18245928925542826	Benzyl nitrile
a-campholenal	0.1100288206771637	.alpha.-Campholenal
Decanal	0.07007784439818851	NA
caprolactam	0.15025365998344897	Caprolactam
Nonanoic acid	0.12971159262426224	NA
indole	0.2933370017345377	Indole
indole	0.2933370017345377	Indolizine
a-copaene	0.07276815061366967	Copaene
a-copaene	0.07276815061366967	.alfa.-Copaene
petasitene	0.2184922151222019	Petasitene
trans-a-bergamotene	0.07753865431058468	trans-.alpha.-Bergamotene
b-caryophyllene	0.05130385506500194	Caryophyllene
b-caryophyllene	0.05130385506500194	Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-,[1R-(1R*,4Z,9S*)]-
b-caryophyllene	0.05130385506500194	Bicyclo[7.2.0]undec-4-ene, 4,11,11-trimethyl-8-methylene-
trans-b-bergamotene	0.12122325584395965	(1S,5S,6R)-6-Methyl-2-methylene-6-(4-methylpent-3-en-1-yl)bicyclo[3.1.1]heptane
a-farnesene	0.07780031009211776	.alpha.-Farnesene
pseudoionone	0.18710578433231345	3,5,9-Undecatrien-2-one, 6,10-dimethyl-
trans-Geranylgeraniol	0.13846305580683904	NA
(E)-hex-3-en-1-ol	0.08952705136730378	4-Hexen-1-ol, (Z)-
(E)-hex-3-en-1-ol	0.08952705136730378	3-Hexen-1-ol, (E)-
[(E)-hex-3-enyl] acetate	0.2626497277983785	3-Hexen-1-ol, acetate, (E)-
[(E)-hex-3-enyl] butanoate	0.16269389821545638	Butanoic acid, 3-hexenyl ester, (E)-
[(Z)-hex-3-enyl] butanoate	0.04663817736976679	Butanoic acid, 3-hexenyl ester, (Z)-
a-terpineol	0.074548899509933	L-.alpha.-Terpineol
cis-a-bergamotene	0.13923236245189133	cis-.alpha.-Bergamotene
(1Z,4Z,7Z)-1,5,9,9-tetramethylcycloundeca-1,4,7-triene	0.10614240367843746	1,4,7,-Cycloundecatriene, 1,5,9,9-tetramethyl-, Z,Z,Z-
(2E)-2,7-dimethylocta-2,6-dien-1-ol	0.06711542869714	2,6-Octadien-1-ol, 2,7-dimethyl-
benzaldehyde	0.21635519083792798	Benzaldehyde
D-limonene	0.15974287340360455	D-Limonene
methyl salicylate	0.24851141358720258	Methyl salicylate
